# id	left	top	right	bottom	texture_id
[SPRITES]
#box_cam
91000	0	119	15	134	30
92000	17	119	32	134	30
93000	34	119	49	134	30
94000	0	136	15	151	30
95000	17	136	32	151	30
96000	34	136	49	151	30
97000	0	153	15	168	30
98000	17	153	32	168	30
99000	34	153	49	168	30
#box2_blue
91001	51	119	66	134	30
92001	68	119	83	134	30
93001	85	119	100	134	30
94001	51	136	66	151	30
95001	68	136	83	151	30
96001	85	136	100	151	30
97001	51	153	66	168	30
98001	68	153	83	168	30
99001	85	153	100	168	30
#box3_green
91002	102	119	117	134	30
92002	119	119	134	134	30
93002	136	119	151	134	30
94002	102	136	117	151	30
95002	119	136	134	151	30
96002	136	136	151	151	30
97002	102	153	117	168	30
98002	119	153	134	168	30
99002	136	153	151	168	30
#box_white
91003	153	119	168	134	30
92003	170	119	185	134	30
93003	187	119	202	134	30
94003	153	136	168	151	30
95003	170	136	185	151	30
96003	187	136	202	151	30
97003	153	153	168	168	30
98003	170	153	185	168	30
99003	187	153	202	168	30

